Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2024-06-26T04:00:00.000Z,158.8300018311,159.6000061035,156.9799957275,157.5399932861,1302500,0.0,0.0,TTWO,Take-Two Interactive,"Take-Two Interactive Software, Inc.",USD
2024-06-27T04:00:00.000Z,157.8800048828,158.5500030518,156.4600067139,156.9799957275,1092300,0.0,0.0,TTWO,Take-Two Interactive,"Take-Two Interactive Software, Inc.",USD
2024-06-28T04:00:00.000Z,156.8399963379,158.1799926758,155.1999969482,155.4900054932,1625800,0.0,0.0,TTWO,Take-Two Interactive,"Take-Two Interactive Software, Inc.",USD
2024-07-01T04:00:00.000Z,154.0500030518,155.8800048828,153.3800048828,154.2899932861,1259900,0.0,0.0,TTWO,Take-Two Interactive,"Take-Two Interactive Software, Inc.",USD
2024-07-02T04:00:00.000Z,154.5599975586,155.4499969482,154.2899932861,154.6499938965,1509200,0.0,0.0,TTWO,Take-Two Interactive,"Take-Two Interactive Software, Inc.",USD
2024-07-03T04:00:00.000Z,154.2100067139,154.9499969482,152.8000030518,153.5,717300,0.0,0.0,TTWO,Take-Two Interactive,"Take-Two Interactive Software, Inc.",USD
2024-07-05T04:00:00.000Z,152.8399963379,153.0099945068,151.5099945068,151.7400054932,1130300,0.0,0.0,TTWO,Take-Two Interactive,"Take-Two Interactive Software, Inc.",USD
2024-07-08T04:00:00.000Z,151.8399963379,152.8099975586,151.0299987793,152.0,1177700,0.0,0.0,TTWO,Take-Two Interactive,"Take-Two Interactive Software, Inc.",USD
2024-07-09T04:00:00.000Z,151.9499969482,151.9499969482,149.1499938965,149.3600006104,1320300,0.0,0.0,TTWO,Take-Two Interactive,"Take-Two Interactive Software, Inc.",USD
2024-07-10T04:00:00.000Z,149.3999938965,149.9799957275,147.6199951172,148.8300018311,1799400,0.0,0.0,TTWO,Take-Two Interactive,"Take-Two Interactive Software, Inc.",USD
2024-07-11T04:00:00.000Z,150.0099945068,153.0800018311,149.8500061035,151.5200042725,2371800,0.0,0.0,TTWO,Take-Two Interactive,"Take-Two Interactive Software, Inc.",USD
2024-07-12T04:00:00.000Z,151.8899993896,155.2799987793,151.7599945068,153.3500061035,1576100,0.0,0.0,TTWO,Take-Two Interactive,"Take-Two Interactive Software, Inc.",USD
2024-07-15T04:00:00.000Z,153.5500030518,154.5700073242,152.3099975586,153.3099975586,1188000,0.0,0.0,TTWO,Take-Two Interactive,"Take-Two Interactive Software, Inc.",USD
